Feature,Mean_Abs_SHAP
delta_ndbi,2.0107203
norm_delta_ndbi,1.604479
norm_delta_ndvi,0.88106227
abs_delta_ndbi,0.8309205
delta_ndvi,0.5911612
norm_delta_ndwi,0.29925293
delta_ndwi,0.2903696
city_Pune,0.28814113
abs_delta_ndvi,0.16936359
mean_ndbi_2026,0.1342415
mean_ndvi_2019,0.12692043
distance_to_center,0.106139705
mean_ndwi_2026,0.07911798
mean_ndwi_2019,0.068376854
road_length,0.067068405
building_count,0.059040207
mean_ndbi_2019,0.056620013
distance_to_highway,0.053668227
building_area_ratio,0.048954766
abs_delta_ndwi,0.048799712
city_Bengaluru,0.04851088
green_area,0.048109446
mean_ndvi_2026,0.044434693
city_Hyderabad,0.0
